episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-412.0085655524231,-7226.643340967163,-3738.191542928644,500.0,37,20000,False,20000,37,1,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-13-41,1567224821,22.36435627937317,22.36435627937317,43183,ip-172-31-16-229,172.31.16.229,22.36435627937317,20000,1,10,a48ddf6e,5.208209316392425,2.172629824127506,0.697180365778794,19968,20000,18496.316,64.013,2820.86,924.476,38.04375,12.20625,0.20000000298023224,4.999999873689376e-05,74516.484375,-0.004126749932765961,74516.484375,5.077780951978639e-05,0.005288127809762955,2.820807933807373,0.0
-78.85442861709788,-7392.380159317514,-3015.153774470743,500.0,39,20000,False,40000,76,2,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-13-58,1567224838,17.775747776031494,40.14010405540466,43183,ip-172-31-16-229,172.31.16.229,40.14010405540466,40000,2,10,a48ddf6e,4.930740253732123,2.1986755358750316,0.6870383668162398,39936,40000,16922.213,39.546,2608.216,464.736,34.419230769230765,12.407692307692308,0.10000000149011612,4.999999873689376e-05,34336.7578125,-0.004708908498287201,34336.7578125,3.981552072218619e-05,0.00557377003133297,2.811950445175171,0.0
35.6175470350285,-7819.949261056221,-2182.924497361701,500.0,40,20000,False,60000,116,3,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-14-14,1567224854,16.022159814834595,56.16226387023926,43183,ip-172-31-16-229,172.31.16.229,56.16226387023926,60000,3,10,a48ddf6e,4.627604264411458,2.2318327395692754,0.6776393773216515,59904,60000,15807.056,31.363,2542.502,311.245,34.38260869565217,12.486956521739133,0.05000000074505806,4.999999873689376e-05,15250.0751953125,-0.006459800060838461,15250.080078125,1.5451358194695786e-05,0.008735151961445808,2.813225746154785,0.0
86.28585161225475,-7819.949261056221,-1074.4519737986727,500.0,40,20000,False,80000,156,4,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-14-30,1567224870,15.500615119934082,71.66287899017334,43183,ip-172-31-16-229,172.31.16.229,71.66287899017334,80000,4,10,a48ddf6e,4.254870376333753,2.2526086077233134,0.6671038571378523,79872,80000,15120.506,27.361,2508.653,234.567,33.045454545454554,12.413636363636364,0.02500000037252903,4.999999873689376e-05,1401.8450927734375,-0.005970084574073553,1401.850830078125,2.123262675013393e-05,0.008158190175890923,2.7930893898010254,0.0
207.0453027225808,-5521.957499098755,-403.7590125557971,500.0,41,20000,False,100000,197,5,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-14-45,1567224885,15.151926517486572,86.81480550765991,43183,ip-172-31-16-229,172.31.16.229,86.81480550765991,100000,5,10,a48ddf6e,3.968009318527304,2.2805556430476894,0.6615187525987517,99840,100000,14640.218,24.36,2487.626,188.478,33.266666666666666,12.404761904761905,0.012500000186264515,4.999999873689376e-05,788.2959594726562,-0.005019169766455889,788.3009033203125,9.63531965680886e-06,0.008167160674929619,2.776855945587158,0.0
207.0453027225808,-1396.5105902708515,-143.68448437840559,500.0,41,20000,False,120000,238,6,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-15-00,1567224900,14.970848798751831,101.78565430641174,43183,ip-172-31-16-229,172.31.16.229,101.78565430641174,120000,6,10,a48ddf6e,3.7616360583909874,2.2987201385008174,0.6574678822597572,119808,120000,14286.771,22.389,2476.455,157.8,31.622727272727275,12.41818181818182,0.0062500000931322575,4.999999873689376e-05,482.7603759765625,-0.005550460424274206,482.7658386230469,-1.8248191508973832e-06,0.00653256056830287,2.746095657348633,0.0
255.38544003073758,-919.5509900165608,-21.609506662818152,500.0,41,20000,False,140000,279,7,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-15-15,1567224915,15.022005558013916,116.80765986442566,43183,ip-172-31-16-229,172.31.16.229,116.80765986442566,140000,7,10,a48ddf6e,3.6178619697634575,2.3085472355732772,0.6556973597818344,139776,140000,14043.269,20.971,2466.833,135.891,33.41428571428572,12.404761904761905,0.0031250000465661287,4.999999873689376e-05,213.94601440429688,-0.007742926944047213,213.95372009277344,-3.1259580282494426e-05,0.008510169573128223,2.7209012508392334,0.0
259.2943692106821,-447.14453317248575,60.485793620985895,500.0,40,20000,False,160000,319,8,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-15-30,1567224930,14.789749383926392,131.59740924835205,43183,ip-172-31-16-229,172.31.16.229,131.59740924835205,160000,8,10,a48ddf6e,3.523896449461529,2.3151613629608727,0.6562714470716458,159744,160000,13832.311,19.91,2458.986,119.512,34.25714285714285,12.404761904761905,0.0015625000232830644,4.999999873689376e-05,133.74867248535156,-0.008246202953159809,133.75689697265625,0.12553466856479645,0.00985551718622446,2.7111380100250244,0.0
272.916603644514,-247.74324123910242,126.85774980270115,500.0,40,20000,False,180000,359,9,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-15-45,1567224945,15.165624618530273,146.76303386688232,43183,ip-172-31-16-229,172.31.16.229,146.76303386688232,180000,9,10,a48ddf6e,3.4497445753439093,2.320221572606108,0.6584591195802133,179712,180000,13709.129,19.102,2453.667,106.775,33.48181818181817,12.413636363636364,0.0007812500116415322,4.999999873689376e-05,147.2147216796875,-0.009732181206345558,147.22442626953125,0.11488508433103561,0.012923063710331917,2.6822707653045654,0.0
272.916603644514,-143.76451506244197,174.58459828448312,500.0,39,20000,False,200000,398,10,bcdc3669f6a642f89825db0ed43a2757,2019-08-31_04-16-00,1567224960,15.089059829711914,161.85209369659424,43183,ip-172-31-16-229,172.31.16.229,161.85209369659424,200000,10,10,a48ddf6e,3.393232153536713,2.3202608733064225,0.6604637671452197,199680,200000,13603.812,18.411,2448.54,96.596,34.333333333333336,12.404761904761905,0.0007812500116415322,4.999999873689376e-05,146.44586181640625,-0.006759302690625191,146.45260620117188,0.02374768629670143,0.012135976925492287,2.643550395965576,0.0
