episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-265.95134969099337,-8165.675974130684,-2502.072579087368,500.0,37,20000,False,20000,37,1,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-25-27,1567545927,20.944828271865845,20.944828271865845,38111,ip-172-31-21-246,172.31.21.246,20.944828271865845,20000,1,10,ce6c99ae,4.5133130006156925,2.1718673848007133,0.6771327412589517,19968,20000,17385.8,64.174,2841.507,607.097,37.949999999999996,17.706666666666667,0.20000000298023224,4.999999873689376e-05,40585.66015625,-0.005548038519918919,40585.6640625,8.993806113721803e-05,0.008255562745034695,2.8463873863220215,0.0
-195.88242018825608,-8165.675974130684,-1828.8474627223034,500.0,40,20000,False,40000,77,2,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-25-44,1567545944,16.17051935195923,37.11534762382507,38111,ip-172-31-21-246,172.31.21.246,37.11534762382507,40000,2,10,ce6c99ae,4.227873917436402,2.213487920564657,0.669959167848621,39936,40000,15555.248,39.811,2627.005,306.196,34.68260869565218,17.921739130434776,0.10000000149011612,4.999999873689376e-05,10637.595703125,-0.006227925419807434,10637.6005859375,7.232221105368808e-05,0.011596785858273506,2.8270208835601807,0.0
51.72685302178415,-8165.675974130684,-1282.0420701825265,500.0,41,20000,False,60000,118,3,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-25-59,1567545959,15.332791566848755,52.44813919067383,38111,ip-172-31-21-246,172.31.21.246,52.44813919067383,60000,3,10,ce6c99ae,4.037714625101264,2.2566923779070143,0.6651856198441647,59904,60000,14664.693,31.602,2556.616,205.866,32.28636363636363,17.92272727272727,0.10000000149011612,4.999999873689376e-05,1778.58349609375,-0.006901545450091362,1778.589599609375,8.220512245316058e-05,0.009569207206368446,2.80361008644104,0.0
108.55715189864809,-4956.17577290362,-533.4226726940442,500.0,40,20000,False,80000,158,4,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-26-13,1567545973,14.302677154541016,66.75081634521484,38111,ip-172-31-21-246,172.31.21.246,66.75081634521484,80000,4,10,ce6c99ae,3.6914415817124677,2.285670542548816,0.6591027950241883,79872,80000,13964.775,27.565,2518.63,155.549,32.971428571428575,18.019047619047623,0.05000000074505806,4.999999873689376e-05,1066.919189453125,-0.007328737992793322,1066.9259033203125,2.694435534067452e-05,0.00929165631532669,2.7968997955322266,0.0
155.28670350400833,-2074.7097819231276,-225.83135382168777,500.0,40,20000,False,100000,198,5,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-26-28,1567545988,14.365012407302856,81.1158287525177,38111,ip-172-31-21-246,172.31.21.246,81.1158287525177,100000,5,10,ce6c99ae,3.472914115838468,2.305100664490543,0.6568683341700339,99840,100000,13555.314,24.541,2498.222,125.481,33.055,17.924999999999997,0.02500000037252903,4.999999873689376e-05,326.74102783203125,-0.004207446705549955,326.7450866699219,6.7131641117157415e-06,0.0066158464178442955,2.769867181777954,0.0
185.48299105517685,-1528.3943437681014,-98.06514808473365,500.0,40,20000,False,120000,238,6,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-26-42,1567546002,14.714463949203491,95.83029270172119,38111,ip-172-31-21-246,172.31.21.246,95.83029270172119,120000,6,10,ce6c99ae,3.2955018360635453,2.3090938032587105,0.6564703756880073,119808,120000,13339.066,22.475,2486.373,105.397,32.72380952380953,17.92380952380952,0.012500000186264515,4.999999873689376e-05,380.8583984375,-0.005249258130788803,380.86358642578125,9.131355000135954e-06,0.006528195459395647,2.7574048042297363,0.0
203.96594811935125,-622.3421833590795,-23.00282674685579,500.0,41,20000,False,140000,279,7,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-26-57,1567546017,14.534295558929443,110.36458826065063,38111,ip-172-31-21-246,172.31.21.246,110.36458826065063,140000,7,10,ce6c99ae,3.1923611460182246,2.3159185768076713,0.6552359026627897,139776,140000,13158.392,20.997,2478.35,90.968,31.85238095238096,17.928571428571427,0.0062500000931322575,4.999999873689376e-05,218.74124145507812,-0.006361851934343576,218.74754333496094,0.07922003418207169,0.00931733287870884,2.7378828525543213,0.0
220.18811193738233,-622.3421833590795,33.04624931449327,500.0,39,20000,False,160000,318,8,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-27-11,1567546031,14.171308040618896,124.53589630126953,38111,ip-172-31-21-246,172.31.21.246,124.53589630126953,160000,8,10,ce6c99ae,3.0931209661130215,2.3155355495365253,0.6554910436067074,159744,160000,12978.478,19.921,2471.344,80.128,32.855000000000004,17.93,0.0031250000465661287,4.999999873689376e-05,149.5485076904297,-0.006484889890998602,149.55499267578125,0.24215343594551086,0.0073949312791228294,2.721386194229126,0.0
244.03408090379764,-622.3421833590795,79.70773399269065,500.0,41,20000,False,180000,359,9,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-27-26,1567546046,14.826424837112427,139.36232113838196,38111,ip-172-31-21-246,172.31.21.246,139.36232113838196,180000,9,10,ce6c99ae,3.040277335674149,2.318629413400774,0.6563998351039111,179712,180000,12911.202,19.065,2465.998,71.791,32.576190476190476,17.947619047619046,0.0015625000232830644,4.999999873689376e-05,157.06019592285156,-0.007767817005515099,157.06796264648438,0.2635527551174164,0.008176958188414574,2.7053303718566895,0.0
244.03408090379764,-302.26489920122725,118.29253472042281,500.0,40,20000,False,200000,399,10,d29e84f2897c4761bdca73be9d60d741,2019-09-03_21-27-41,1567546061,14.964777708053589,154.32709884643555,38111,ip-172-31-21-246,172.31.21.246,154.32709884643555,200000,10,10,ce6c99ae,3.0027133438863216,2.3196312744380587,0.6594398128923009,199680,200000,12870.581,18.399,2462.416,65.038,33.29090909090908,17.95,0.0007812500116415322,4.999999873689376e-05,146.826416015625,-0.009389134123921394,146.83578491210938,0.1823941320180893,0.01436159573495388,2.670905590057373,0.0
