episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-254.80344445707235,-9480.117326571395,-3602.0341113800073,500.0,36,20000,False,20000,36,1,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-58-08,1567227488,23.097871780395508,23.097871780395508,63397,ip-172-31-16-81,172.31.16.81,23.097871780395508,20000,1,10,0d0cdff4,5.418168044909079,2.1337437986211905,0.7008282124838442,19968,20000,19461.951,67.872,2861.687,657.932,39.78823529411765,18.11764705882353,0.20000000298023224,4.999999873689376e-05,75169.6015625,-0.005795001517981291,75169.6015625,1.5058960343594663e-05,0.005680553615093231,2.842409610748291,0.0
-170.4387624786053,-9480.117326571395,-2655.663837618414,500.0,40,20000,False,40000,76,2,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-58-26,1567227506,17.87683129310608,40.97470307350159,63397,ip-172-31-16-81,172.31.16.81,40.97470307350159,40000,2,10,0d0cdff4,5.092448990123449,2.188083568178422,0.6897701384904795,39936,40000,17429.152,41.516,2654.602,331.165,37.7,18.372,0.10000000149011612,4.999999873689376e-05,25292.3203125,-0.004564950242638588,25292.3203125,9.858073099167086e-06,0.007410843390971422,2.8284077644348145,0.0
61.935128129007786,-7762.872149391677,-1609.083438151981,500.0,40,20000,False,60000,116,3,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-58-43,1567227523,16.92894721031189,57.90365028381348,63397,ip-172-31-16-81,172.31.16.81,57.90365028381348,60000,3,10,0d0cdff4,4.6922007575476234,2.2312598684557305,0.6796935338490434,59904,60000,16440.558,32.835,2580.016,222.575,35.6875,18.358333333333334,0.05000000074505806,4.999999873689376e-05,8340.0673828125,-0.00643241498619318,8340.07421875,8.57428130984772e-06,0.009582862257957458,2.8251729011535645,0.0
146.75872200783795,-4271.02396936122,-837.7521257053919,500.0,41,20000,False,80000,157,4,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-58-59,1567227539,16.709383487701416,74.61303377151489,63397,ip-172-31-16-81,172.31.16.81,74.61303377151489,80000,4,10,0d0cdff4,4.361585294472926,2.2904476324185667,0.6717378794423374,79872,80000,15888.112,27.711,2547.013,168.111,34.324999999999996,18.441666666666666,0.02500000037252903,4.999999873689376e-05,3181.188720703125,-0.005756760481745005,3181.194580078125,6.914902769494802e-06,0.0073011089116334915,2.7978157997131348,0.0
173.87587374277277,-3042.517103238239,-365.0336607925226,500.0,39,20000,False,100000,196,5,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-59-16,1567227556,16.314996242523193,90.92803001403809,63397,ip-172-31-16-81,172.31.16.81,90.92803001403809,100000,5,10,0d0cdff4,4.124090854207384,2.297083718526751,0.6674189049660009,99840,100000,15484.932,24.131,2520.618,135.475,34.504347826086956,18.39999999999999,0.012500000186264515,4.999999873689376e-05,1192.2724609375,-0.0048881396651268005,1192.2772216796875,4.714116130344337e-06,0.007211518473923206,2.7767601013183594,0.0
173.87587374277277,-1931.906859079166,-196.43649261470458,500.0,40,20000,False,120000,236,6,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-59-32,1567227572,15.954989194869995,106.88301920890808,63397,ip-172-31-16-81,172.31.16.81,106.88301920890808,120000,6,10,0d0cdff4,3.963498077256199,2.2979070082729076,0.6651566610564801,119808,120000,15155.882,22.126,2502.684,113.776,34.504347826086956,18.37826086956521,0.0062500000931322575,4.999999873689376e-05,525.978271484375,-0.006169886328279972,525.984375,2.9034340514044743e-06,0.009174349717795849,2.760118246078491,0.0
176.4708609979484,-1931.906859079166,-86.10705399878833,500.0,41,20000,False,140000,277,7,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_04-59-48,1567227588,16.09133267402649,122.97435188293457,63397,ip-172-31-16-81,172.31.16.81,122.97435188293457,140000,7,10,0d0cdff4,3.833369294633746,2.305208410817095,0.6628633644991012,139776,140000,14939.297,20.766,2490.893,98.306,34.30869565217391,18.36086956521739,0.0031250000465661287,4.999999873689376e-05,368.8660888671875,-0.0070644854567945,368.87310791015625,-8.077193456301757e-07,0.01016948465257883,2.720029592514038,0.0
223.37218801672768,-619.8416484167541,-5.610110835586085,500.0,40,20000,False,160000,317,8,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_05-00-04,1567227604,16.30122137069702,139.2755732536316,63397,ip-172-31-16-81,172.31.16.81,139.2755732536316,160000,8,10,0d0cdff4,3.7398843292313098,2.3143913563519627,0.6612250401960835,159744,160000,14804.351,19.8,2480.697,86.648,34.22608695652173,18.39565217391304,0.0031250000465661287,4.999999873689376e-05,395.3209533691406,-0.007026719860732555,395.3279724121094,0.10896545648574829,0.009203006513416767,2.692389965057373,0.0
223.37218801672768,-748.7695724771594,43.441333317015086,500.0,39,20000,False,180000,356,9,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_05-00-20,1567227620,16.115899085998535,155.39147233963013,63397,ip-172-31-16-81,172.31.16.81,155.39147233963013,180000,9,10,0d0cdff4,3.6858876676530135,2.3171664048953504,0.660556678413406,179712,180000,14679.753,18.966,2472.032,77.543,34.7608695652174,18.40434782608695,0.0015625000232830644,4.999999873689376e-05,227.69577026367188,-0.006990518420934677,227.70272827148438,0.26037177443504333,0.007150876335799694,2.6776933670043945,0.0
244.9668949847163,-748.7695724771594,70.93312433989395,500.0,41,20000,False,200000,397,10,fdab6e88d7b44619bf5153cd35253ff7,2019-08-31_05-00-37,1567227637,16.391412258148193,171.78288459777832,63397,ip-172-31-16-81,172.31.16.81,171.78288459777832,200000,10,10,0d0cdff4,3.653893709605349,2.319503430299353,0.6599952597558172,199680,200000,14607.248,18.321,2465.461,70.225,34.13333333333333,18.4,0.0007812500116415322,4.999999873689376e-05,311.7274169921875,-0.00685882568359375,311.7342834472656,0.27421560883522034,0.007378870155662298,2.6548852920532227,0.0
