episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,policy_reward_mean/av,policy_reward_mean/action_adversary,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/action_adversary/cur_kl_coeff,info/learner/action_adversary/cur_lr,info/learner/action_adversary/total_loss,info/learner/action_adversary/policy_loss,info/learner/action_adversary/vf_loss,info/learner/action_adversary/vf_explained_var,info/learner/action_adversary/kl,info/learner/action_adversary/entropy,info/learner/action_adversary/entropy_coeff,info/learner/av/cur_kl_coeff,info/learner/av/cur_lr,info/learner/av/total_loss,info/learner/av/policy_loss,info/learner/av/vf_loss,info/learner/av/vf_explained_var,info/learner/av/kl,info/learner/av/entropy,info/learner/av/entropy_coeff
0.0,0.0,0.0,469.425,40,20000,False,20000,40,1,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-21-06,1567646466,26.692485332489014,26.692485332489014,66174,ip-172-31-24-46,172.31.24.46,26.692485332489014,20000,1,10,567efd24,-2681.6353601211754,2681.6353601211754,4.982760361889302,2.459547797625462,1.038863553478776,19968,20000,18007.686,202.462,5870.227,2455.896,31.084615384615383,14.079487179487177,0.20000000298023224,4.999999873689376e-05,43071.20703125,-0.011386706493794918,43071.21484375,1.875903399195522e-05,0.005432323552668095,31.176528930664062,0.0,0.20000000298023224,4.999999873689376e-05,43011.3125,-0.005252753384411335,43011.3203125,2.369513822486624e-05,0.006105014123022556,2.833873987197876,0.0
0.0,0.0,0.0,462.8780487804878,42,20000,False,40000,82,2,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-21-26,1567646486,20.213266372680664,46.90575170516968,66174,ip-172-31-24-46,172.31.24.46,46.90575170516968,40000,2,10,567efd24,-1942.8310900740773,1942.8310900740773,4.635500027624566,2.4868814778958765,1.0128539264485847,39936,40000,16585.316,119.313,5430.847,1231.845,32.56206896551724,14.355172413793104,0.10000000149011612,4.999999873689376e-05,16298.6552734375,-0.010300986468791962,16298.6650390625,1.7790840502129868e-05,0.006575305480509996,31.219331741333008,0.0,0.10000000149011612,4.999999873689376e-05,16300.689453125,-0.00578334229066968,16300.6923828125,2.0602574295480736e-05,0.0099995331838727,2.8242552280426025,0.0
0.0,0.0,0.0,472.84,40,20000,False,60000,122,3,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-21-45,1567646505,19.027854919433594,65.93360662460327,66174,ip-172-31-24-46,172.31.24.46,65.93360662460327,60000,3,10,567efd24,-1157.7692613478005,1157.7692613478005,4.222345292734629,2.4853264220656577,0.9888995748060359,59904,60000,15712.04,88.598,5290.703,823.841,30.859259259259257,14.459259259259257,0.05000000074505806,4.999999873689376e-05,2770.748046875,-0.013429895043373108,2770.7607421875,2.2444586647907272e-05,0.009933998808264732,31.22933578491211,0.0,0.05000000074505806,4.999999873689376e-05,2770.719970703125,-0.006418405566364527,2770.72607421875,2.4248774934676476e-05,0.009656629525125027,2.793198585510254,0.0
0.0,0.0,0.0,489.02,41,20000,False,80000,163,4,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-22-04,1567646524,18.899977684020996,84.83358430862427,66174,ip-172-31-24-46,172.31.24.46,84.83358430862427,80000,4,10,567efd24,-477.27074361937395,477.27074361937395,3.828131420111167,2.493348573211398,0.9696085407741504,79872,80000,15242.033,75.542,5220.429,619.678,30.44074074074074,14.359259259259261,0.02500000037252903,4.999999873689376e-05,667.9620361328125,-0.014026036486029625,667.9757690429688,1.5702767996117473e-05,0.00983638595789671,31.213350296020508,0.0,0.02500000037252903,4.999999873689376e-05,668.6915893554688,-0.007373556029051542,668.6987915039062,1.1937740964640398e-05,0.008887655101716518,2.779270648956299,0.0
0.0,0.0,0.0,496.85,40,20000,False,100000,203,5,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-22-22,1567646542,18.517109155654907,103.35069346427917,66174,ip-172-31-24-46,172.31.24.46,103.35069346427917,100000,5,10,567efd24,-100.5320253931195,100.5320253931195,3.5847540602420316,2.486310139996688,0.9632935600553145,99840,100000,14885.329,67.566,5175.847,497.306,31.21923076923077,14.48076923076923,0.012500000186264515,4.999999873689376e-05,626.1651611328125,-0.01396948378533125,626.1790161132812,1.1243117114645429e-05,0.01056214701384306,31.173471450805664,0.0,0.012500000186264515,4.999999873689376e-05,626.6354370117188,-0.005688768345862627,626.6409301757812,7.676008863199968e-06,0.00943987537175417,2.750525951385498,0.0
0.0,0.0,0.0,498.07,40,20000,False,120000,243,6,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-22-41,1567646561,18.583301305770874,121.93399477005005,66174,ip-172-31-24-46,172.31.24.46,121.93399477005005,120000,6,10,567efd24,-1.954843876807754,1.954843876807754,3.414350736755779,2.4749102046751594,0.9584868103677426,119808,120000,14657.479,61.859,5147.814,415.8,30.23703703703704,14.42962962962963,0.012500000186264515,4.999999873689376e-05,376.9156188964844,-0.014493715949356556,376.92999267578125,0.11977861076593399,0.011644966900348663,31.169189453125,0.0,0.0062500000931322575,4.999999873689376e-05,386.18536376953125,-0.0064480723813176155,386.1917419433594,0.09697531163692474,0.010304729454219341,2.734346389770508,0.0
0.0,0.0,0.0,500.0,40,20000,False,140000,283,7,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-22-59,1567646579,18.305906772613525,140.23990154266357,66174,ip-172-31-24-46,172.31.24.46,140.23990154266357,140000,7,10,567efd24,32.533942848978775,-32.533942848978775,3.3104089276605713,2.470329241198525,0.9559993401648497,139776,140000,14454.814,58.139,5127.607,357.532,31.657692307692308,14.48846153846154,0.012500000186264515,4.999999873689376e-05,428.7220458984375,-0.014316625893115997,428.7361755371094,0.21899287402629852,0.011638209223747253,31.098094940185547,0.0,0.0062500000931322575,4.999999873689376e-05,426.89752197265625,-0.005034011788666248,426.9025573730469,0.2040298581123352,0.006711384281516075,2.699152946472168,0.0
0.0,0.0,0.0,500.0,41,20000,False,160000,324,8,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-23-18,1567646598,18.91535973548889,159.15526127815247,66174,ip-172-31-24-46,172.31.24.46,159.15526127815247,160000,8,10,567efd24,74.15057618801126,-74.15057618801126,3.240485688627599,2.472450164113819,0.9572321518187659,159744,160000,14378.881,55.372,5112.762,313.782,30.65555555555555,14.448148148148148,0.012500000186264515,4.999999873689376e-05,414.4468994140625,-0.015293009579181671,414.46197509765625,0.26679807901382446,0.013150135986506939,31.110748291015625,0.0,0.0031250000465661287,4.999999873689376e-05,413.9625244140625,-0.005339082330465317,413.96783447265625,0.2539159655570984,0.009130663238465786,2.696840763092041,0.0
0.0,0.0,0.0,499.01,40,20000,False,180000,364,9,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-23-36,1567646616,18.277042627334595,177.43230390548706,66174,ip-172-31-24-46,172.31.24.46,177.43230390548706,180000,9,10,567efd24,124.8733620891661,-124.8733620891661,3.1872894603369137,2.4729213675920443,0.9600725225253675,179712,180000,14248.214,53.231,5101.631,279.825,31.7923076923077,14.492307692307692,0.012500000186264515,4.999999873689376e-05,274.8860778808594,-0.014975936152040958,274.90087890625,0.32750776410102844,0.011912284418940544,31.087543487548828,0.0,0.0015625000232830644,4.999999873689376e-05,274.21539306640625,-0.005948867183178663,274.2213134765625,0.31787005066871643,0.007864291779696941,2.6634905338287354,0.0
0.0,0.0,0.0,499.01,40,20000,False,200000,404,10,a6fdb2a06e804fe08347c5d5b5196f93,2019-09-05_01-23-55,1567646635,18.508084774017334,195.9403886795044,66174,ip-172-31-24-46,172.31.24.46,195.9403886795044,200000,10,10,567efd24,171.72269081965325,-171.72269081965325,3.1334002657707627,2.4728077008565914,0.9609683233531499,199680,200000,14168.14,51.475,5091.676,252.568,31.234615384615385,14.5,0.012500000186264515,4.999999873689376e-05,231.82046508789062,-0.014927038922905922,231.83526611328125,0.26997533440589905,0.012736707925796509,31.071685791015625,0.0,0.0007812500116415322,4.999999873689376e-05,232.78781127929688,-0.005200579296797514,232.7930145263672,0.25653505325317383,0.010481319390237331,2.6168019771575928,0.0
